id,submi_id,title,authors,Keywords,group,type,abstracts,img,alt_text,video_link,captions,transcript,doc_link
52,156,Urban Drone Traffic Safety with Semantic Web Enhanced Stream Reasoning through DatalogMTL^RDF,Volodymyr Kadzhaia and Pieter Bonte,"Stream Reasoning, Drones, DatalogMTL, RDF Stream Processing",pd,Demo,,,,,,,
53,185,Enforcing fine-grained data governance for Wikibase via generic and declarative filter rules,Sven Lieber,"Wikibase, Data governance, Privacy",pd,Poster,,,,,,,
54,177,Explore Intra-Belgian book translation flows with a SAMPO-UI,"Sven Lieber, Ann Van Camp, Joren Six and Julie Birkholz","Big Translation History, Semantic Portal, Library Science",pd,Demo,,,,,,,
55,106,Sampo-UI Meets Ontop: Publishing Relational Digital Humanities Data on the Semantic Web,"Joren Six, Jahid Chetti, Annastiina Ahola, Frederic Lamsens, Heikki Rantala and Eero Hyvönen","Linked data, SPARQL, Sampo-UI, Semantic Web, Virtual Knowledge Graph, Ontop-VKG",pd,Demo,,,,,,,
56,137,Using ParliamentSampo Linked Open Data Service and Portal for Analyzing Interruptions and Laughter in the Plenary Sessions of the Parliament of Finland,"Eero Hyvönen, Petri Leskinen, Heikki Rantala, Jouni Tuominen and Annastiina Ahola","linked data, parliamentary data, digital humanities, user interface, semantic portal, SPARQL",pd,Demo,,,,,,,
57,166,EthnoBot: A Semantic Platform for Ethnobotanical Data Collection and LLM-Aided Plant Name Resolution,"Theodora Manika, Michail Tsenos, Christian Ebeling, Vijay Ingalalli, Antigoni Cheilari, Evanthia Dina, Avni Hajdari, Andrea Pieroni, Dimitrios Gunopoulos, Marc Jacobs and Nektarios Aligiannis","ethnobotany, semantic web, knowledge graphs, Darwin Core, plant name resolution, large language models, linked data, biodiversity informatics",pd,Demo,,,,,,,
58,107,KGWorkbench: From Modular Ontologies to Human-Reviewed Knowledge Graphs - A Human-in-the-Loop Tool for LLM-assisted Knowledge Graph Construction,"Ole Katzenberger, Ferdinand Moritz Schreiber, Christos Vagkidis, Alf Köhn-Seemann and Thomas Kopinski","Knowledge Graph Construction, Modular Ontology Modeling (MOMo), Large Language Models, GraphRAG",pd,Demo,,,,,,,
59,121,Montage: LLM-driven Expert-in-loop Schema-Ontology Mapper,"Siddhesh Thombre, Manasi Patwardhan and Sunita Sarawagi","Database-Ontology mapping, data integration, enterprise search, R2RML generation",pd,Demo,,,,,,,
60,122,Towards ATIC: A Specialized Quadstore Tailored for Corporate Memories,"Markus Schröder, Desiree Heim, Christian Jilek and Andreas Dengel","Resource Description Framework (RDF), Triplestore, Quadstore, Access Control, Corporate Memory",pd,Demo,,,,,,,
61,155,MCP-over-SPARQL : Giving AI the tools to query knowledge graphs,"Tarek Bouzelat, Thomas Francart, Badisse Dahamna, Flavien Disson, Romain Lelong, Catherine Letord and Stefan Darmoni","Knowledge Graph, Model Context Protocol (MCP), SPARQL, SHACL",pd,Demo,,,,,,,
62,162,Streaming Interoperable Construction Data with LDES,Carlos Ramonell and Mathias Bonduel,"Linked Data Event Streams, Construction Information Management, Interoperability",pd,Demo,,,,,,,
63,170,Robot Capability Assessment in Manufacturing Using Semantic XAI and Neuro-Symbolic Reasoning,"Muhammad Raza Naqvi, Arkopaul Sarkar, Linda Elmhadhbi, Antoine Zimmermann and Hedi Karray","Knowledge Engineering, Manufacturing Common-Sense knowledge, Semantic Explainable AI",pd,Demo,,,,,,,
64,172,The FAIR Humanitarian Data Space,"Rens Kievit, Joëlle Stocker and Mirjam van Reisen","FAIR Data, Data Space, Interoperability, Federated Querying",pd,Demo,,,,,,,
65,181,Session Graph: A Provenance-Aware Semantic Memory Layer for AI-Assisted Development,Roberto Shimizu,"Knowledge graph, Provenance, PROV-O, Wikidata linking, LLM knowledge extraction, Agent memory, SPARQL",pd,Demo,,,,,,,
66,184,AMA-KBQA: An Adaptable Multi-Agent Framework for Generalizable Knowledge Base Question Answering,"Yannic Duan, Maximilian Klattig, Maurice Bardenhagen, Yuyang Li and Tobias Käfer","KBQA, SPARQL, Large Language Models, Model Context Protocol, Knowledge Graphs, RAG",pd,Demo,,,,,,,
67,190,"Trust Chains for AI-Assisted Heritage Knowledge: A Wiki-Backed, Tradition-Aware Pipeline",Vijendra Kushwaha,"human-AI knowledge engineering, provenance, PROV-O, cultural heritage, multilinguality",pd,Demo,,,,,,,
68,191,Knowledge-Graph Scope Expansion for Text-to-SQL RAG over Czech Public-Health Tables: A Demo,Peter Vajdecka,"retrieval-augmented generation, knowledge graphs, KG-RAG, semantic retrieval, text-to-SQL, public-health open data, tabular summarization",pd,Demo,,,,,,,
69,183,OBIS Extractor: Create a Schema for Your Knowledge Graph,"Kārlis Čerāns, Aiga Romane-Ritmane, Mikus Grasmanis and Lelde Lāce","Knowledge graphs, Knowledge graph schema, Visual schema diagrams, Visual queries",pd,Demo,,,,,,,
70,189,Agentic exploration of knowledge graph data schemas,"Uldis Bojārs, Lelde Lāce, Mikus Grasmanis and Kārlis Čerāns","knowledge graphs, SPARQL endpoints, data schemas, Model Context Protocol, large language models, agentic AI",pd,Demo,,,,,,,
